"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-23","0.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"35.0",",,W","25.6",",,W","  230",",,W","  210",",,W","4.5",",,W","7.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-24","2.2",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"35.0",",,W","26.1",",,W","  240",",,W","  230",",,W","5.8",",,W","9.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-25","2.1",",,W",,,"24.9",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"30.0",",,W","22.8",",,W","  300",",,W","  280",",,W","7.6",",,W","12.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-26","1.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"27.2",",,W","21.7",",,W","   50",",,W","   50",",,W","5.8",",,W","8.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-27","1.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"29.4",",,W","21.1",",,W","  140",",,W","  130",",,W","3.6",",,W","6.7",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-28","1.7",",,W",,,"0.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"30.6",",,W","22.8",",,W","  250",",,W","  190",",,W","5.4",",,W","7.6",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-29","1.5",",,W",,,"2.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"29.4",",,W","22.2",",,W","  230",",,W","  230",",,W","5.8",",,W","8.9",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-30","2.1",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"30.6",",,W","22.8",",,W","  310",",,W","  270",",,W","6.3",",,W","9.4",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-31","0.9",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"30.0",",,W","21.7",",,W","  170",",,W","  170",",,W","3.6",",,W","6.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-01","1.2",",,W",,,"12.2",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"25.0",",,W","20.0",",,W","   60",",,W","   40",",,W","4.0",",,W","6.3",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-02","1.6",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"32.2",",,W","22.2",",,W","  240",",,W","  270",",,W","5.4",",,W","7.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-03","1.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"31.7",",,W","21.7",",,W","  230",",,W","  130",",,W","4.0",",,W","6.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-04","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33.9",",,W","24.4",",,W","  140",",,W","  130",",,W","5.4",",,W","8.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-05","1.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"31.7",",,W","25.6",",,W","  230",",,W","  220",",,W","4.5",",,W","6.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-06","1.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33.3",",,W","25.0",",,W","  240",",,W","  240",",,W","5.8",",,W","10.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-07","2.5",",,W",,,"4.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33.3",",,W","24.4",",,W","  260",",,W","  250",",,W","6.3",",,W","11.6",",,W","    1",",,W",,,"    1",",,W",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-08-08","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"33.9",",,W","26.1",",,W","  250",",,W","   99",",,W","4.0",",,W","8.1",",,W",,,,,,,,,,
